Job Title,Description,District,Work Mode
Software Engineer Senior,"Centro, empresa de Tecnología, perteneciente al Grupo Gloria, como parte de su plan de crecimiento, se encuentra en la búsqueda de los mejores talentos para ocupar la posición de:
Software Engineer Senior
Misión:
Responsable del desarrollo, mantenimiento y soporte a Aplicaciones Web & Mobile tanto a nivel de BackEnd y FrontEnd. Analisis técnico, sinergias con seguridad de la información, Arquitectura e infraestructura y elaborar propuesta de como desarrollar soluciones digitales escalables y robustas. Se debe garantizar la continuidad y persistencia principalmente de la solución de facturación electronica del Grupo, asi como otras soluciones relacionadas.
Funciones:
Desarrollar tanto el BackEnd y FrontEnd de las aplicaciones Web & Mobile.
Diseño y desarrollo de base de datos relacional.
Mantenimiento de Aplicaciones Digitales Lecacys existentes.
Desarrollo sobre Componentes AWS.
Implementación & Despliegue Continuo Basico ( DevOps )
Elaboración de Propuesta Tecnica
Soporte a Incidentes de Aplicaciones Existentes.
Requisitos:
Universitario egresado de la carrera de Ingeniería de Sistemas, Software y/o afines.
Ingles a nivel intermedio.
Metodología ágil Scrum y tradicional
Desarrollo BackEnd ( Java Sprint Boot/Quakus, VB.net, Node Js, TypeScript, JavaScript, Nest Js).
Desarrollo FrontEnd ( React, React Native, Next, TypeScript, StoryBook , React Query )
Base de Datos (SQL Server, PostgresSQL, Aurora DB,MySQL )
Herramientas de Control y versiona miento de código fuente ( BitBucket )
Implementación & Despliegue Continuo DevOps
Desarrollo sobre componentes AWS
Integración con sistemas legales, SAP & Seguridad de la Información.
Beneficios:
• Oportunidad de desarrollo Profesional.
• EPS cubierta al 50%.
• Venta de Productos empresa a precios especiales.
• Beneficios de ley.
CENTRO S.A. no solicita ningún tipo de pago o abono para participar en los procesos de reclutamiento y selección, ni en ninguna etapa del mismo (como referencias o verificaciones laborales). Somos una empresa incluyente, que respeta la diversidad y no hace ningún tipo de discriminación.","La Victoria, Lima, Peru",Presencial
Programador Frontend Senior,"Vive la experiencia SONDA
¡Aquí transformas tu carrera!
¿Por qué ser parte de SONDA?
Porque al igual que tú, amamos lo que hacemos, tenemos pasión por la innovación y estamos convencidos de que a través del conocimiento y de la tecnología no solo vamos a transformar los negocios de nuestros clientes, sino también el futuro.
En SONDA vivirás una experiencia de trabajo con diversas oportunidades de desarrollo personal y profesional. Un excelente lugar para aprender y contribuir a mejorar la calidad de vida de las personas por medio de la tecnología.
Buscamos a un/a Desarrollador Frontend Senior que quiera aprender y transformar su carrera, con el siguiente perfil:
Lo que harás:
Participarás en el desarrollo de aplicaciones Frontend de alto impacto.
Colaborarás en arquitecturas basadas en microservicios y tecnologías modernas.
Formarás parte de un equipo multidisciplinario que impulsa la transformación digital.
Lo que buscamos en ti:
Titulado en Ingeniería de Sistemas, Informática o carreras afines; o técnico titulado en Informática o Sistemas o Computación o carreras afines a las Tecnologías de la Información.
Egresado o Titulado de maestría relacionado a tecnologías de la información.
Experiencia comprobada de 7 años como Desarrollador Frontend y desarrollo de software.
Experiencia con microservicios.
Curso o Taller en HTML5 O Java con Sprint o Hybernete o curso de Angular.
¿Qué puedes esperar de nosotros?
Desarrollo profesional y evolución constante de tus habilidades, siempre según tus intereses.
Un ambiente colaborativo, diverso e innovador, que fomenta el trabajo en equipo.
¿Qué ofrecemos?
SONDA Academy, una plataforma educativa de aprendizaje constante que busca potenciar al máximo tu desarrollo profesional.
SONDA Wellness, un programa que busca apoyarte en el balance de tu vida personal y profesional, promoviendo una serie de iniciativas enfocadas en tu salud física, mental y social.
EPS al 100%
Utilidades
Bono de alimentación
¡Y mucho más!
Diversidad +Inclusión = Innovación y colaboración
En SONDA estamos comprometidos con la diversidad. Fomentamos un ambiente inclusivo que garantice que los talentos puedan trabajar en un entorno positivo que los invite a desarrollar su carrera profesional en igualdad de oportunidades.
Porque sabemos que un ambiente diverso es un elemento fundamental para impulsar la innovación, buscamos candidatos en función de su cualificación profesional, independientemente de su raza, color de piel, religión, edad, sexo, orientación sexual, identidad de género, nacionalidad o discapacidad.
¡Sé parte de nuestro equipo!","Lima, Lima, Peru",Remoto
Analista Programador Java,"Analista Programador Java
Resumen del Puesto
Estamos buscando un Analista Programador Java con experiencia para unirse a nuestro equipo. El candidato ideal tendrá un sólido conocimiento de Java y experiencia en el desarrollo de aplicaciones. Buscamos una persona con disponibilidad para trabajar y colaborar en proyectos desafiantes.
Responsabilidades
Diseñar, desarrollar y mantener aplicaciones utilizando Java.
Analizar los requisitos del sistema y diseñar soluciones eficientes.
Colaborar con otros desarrolladores y equipos para entregar productos de alta calidad.
Realizar pruebas y depuración de aplicaciones.
Documentar el código y los procesos de desarrollo.
Requisitos
Título en Ciencias de la Computación o campo relacionado.
Experiencia demostrable en programación Java.
Conocimiento de frameworks y herramientas de desarrollo Java.
Habilidad para trabajar en equipo y comunicarse eficazmente.
Disponibilidad para trabajar.","Lima, Lima, Peru",Presencial
Trainee Programador Jr,"Perfil de Desarrollador/ Programador Junior
Requisitos:
Carreras universitarias sistemas a fines. (Egresado - Bachiller)
Programación en Java, .NET u otros.
Alta capacidad analítica
Alto grado de manejo de algoritmos
Disponibilidad de trabajo presencial
Beneficios
Línea de carrera
Capacitaciones
EPS al 100%
Trabajo bajo planilla","Miraflores, Lima, Peru",Presencial
Analista Programador - Sede ATE,"¡Buscamos a nuestro próximo/a Analista Programador!
¿Te apasiona el desarrollo web y quieres crecer en un equipo innovador? ¡Esta oportunidad es para ti!
✅ Lo que harás:
· Analizar, diseñar e implementar aplicaciones web alineadas a las necesidades del negocio.
· Documentar de forma clara las soluciones implementadas.
· Trabajar en equipo con otros programadores para desplegar y respaldar código.
· Detectar y resolver errores en aplicaciones existentes.
· Aportar ideas a iniciativas de mejora continua del área TI.
✅ Lo que buscamos:
· Egresado/a o bachiller en Ingeniería de Sistemas, Informática, Software o afines.
· Experiencia mínima de 2 años en desarrollo web full stack.
· Dominio de Python y React.
· Manejo de bases de datos relacionales: SQL Server, MySQL u otros.
✅ Lo que ofrecemos:
· Ingreso a planilla desde el primer día (todos los beneficios de ley).
· EPS de libre afiliación.
· Capacitaciones constantes para que sigas creciendo.","Ate, Lima, Peru",Presencial
"Desarrollador Full Stack Node.js, C#, Java, AngularJS","Puesto: Desarrollador Full Stack Senior
📍 Modalidad de trabajo: Híbrido
📍 Sede: Surco
Requisitos:
Educación mínima: Ingeniería de Sistemas, Desarrollo de Software o carreras afines
Experiencia: mínimo 5 años en desarrollo de software
Conocimientos sólidos en:
Bases de datos: PostgreSQL, MySQL, SQL
Lenguajes y frameworks: Node.js, C#, Java, AngularJS
Arquitectura: Microservicios
Competencias valoradas:
Capacidad de análisis y resolución de problemas
Trabajo en equipo y comunicación efectiva
Proactividad y orientación a resultados
Ofrecemos:
Participación en proyectos desafiantes e innovadores
Ambiente colaborativo y en constante aprendizaje
Plan de desarrollo profesional","Lima, Lima, Peru",Híbrido
ANALISTA PROGRAMADOR PHP,"Somos Canvia ¡Una empresa que innova y reinventa!
¡Buscamos a una Analista Programador PHP con ADN de innovación!
Top de razones para trabajar con nosotros
CANVIA es una de las empresas más grandes del sector IT en el Perú y nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital en múltiples industrias. Nos mueve la reinvención, hacer las cosas diferentes a través de buenas ideas, cuestionar el statu quo.
Años de experiencia desarrollando y ejecutando soluciones con un equipo humano valioso y que suma diferentes capacidades, nuevos modelos de negocios a través del uso de tecnologías digitales y sistemas de gestión del cambio soportados en una cultura Lean-Agile.
¿Qué retos tendrás como Analista programador?
Entender, analizar y desarrollar la programación de requerimientos para cumplir con los requerimientos teniendo en cuenta los procedimientos, técnicas y herramientas.
¿Qué skills buscamos en ti?
Que seas Tecnico titulado o Bachiller en las carreras de Ingeniería de sistemas, informatica, sotfware o carreras a fines.
Experiencia mínima de 4 años en desarrollo PHP
Manejo de MySQL, Framework , Laravel.
Lo que encontrarás en Canvia:
Trabajar en equipo con especialistas en nuevas tecnologías y generar impacto a través de la transformación de nuestros clientes y proyectos de gran escala.
Cultura de equipo altamente colaborativa y orientado a romper paradigmas.
A RETARTE y cuestionarte como lo estás haciendo para pensar cómo hacerlo mejor.
Foco en tu desarrollo y línea de crecimiento, a través de Canvia College donde podrás potenciar tus conocimientos con cursos tendencia en tecnología y de gestión.
La importancia de tu bienestar, por ejemplo, el que tengas tiempo libre el día de tu cumpleaños para que lo disfrutes con las personas que más quieres.
Trabajo desde casa en la mayoría de nuestras posiciones.
En esta empresa está prohibida la discriminación – Ley N° 29973","Lima, Lima, Peru",Híbrido
Desarrollador(a) - Minería - Lurín,"Somos una empresa subsidiaria de la Corporación Marubeni, fundada en Japón en 1856, es una de las principales corporaciones a nivel mundial que cuenta con presencia efectiva en más de 65 países. En julio del 2011, Marubeni adquiere HCMA y se funda ZAMINE PERU.
Desde nuestros inicios somos distribuidores autorizados de HITACHI fabricante de Palas Hidráulicas y Camiones Eléctricos para minería. Asimismo, heredado de HCMA, contamos con experiencia de casi 22 años brindando servicios y suministros especializados, los cuales se diversificaron acorde a las necesidades de cada operación minera e industrial. Además, ofrecemos soluciones y productos para minería subterránea y de superficie a través de nuestra oferta de equipos y consumibles. En Zamine buscamos la mejora continua con el fin de cumplir con las expectativas de nuestros clientes, agilizando nuestros procesos y ofreciendo productos de reconocida calidad.
Nos encontramos en la búsqueda de 01 DESARROLLADOR para el área de soporte de para nuestro centro de operaciones en Lurín.
MISIÓN DEL PUESTO:
Desarrollar y brindar soporte a los sistemas de información y aplicaciones móviles cumpliendo con los requerimientos de forma eficiente, aportando ideas innovadoras propiciando la mejora continua.
REQUISITOS:
03 años de experiencia en programación de sistemas.
Experiencia en Back-end (PHP, Laravel, APIs y Servicios Web) y Front-end (HTML, CSS, JavaScript, Vue.js, React)
Experiencia en metodologías ágiles en SCRUM, Kanban y Agile.
Conocimientos en: en CI/CD (Integración y Despliegue Continuo), contenedores y orquestación (Docker, Kubernetes), Principios SOLID y Clean Code: Código legible, mantenible y escalable, Patrones de diseño (Singleton, Factory, Observer, Repository), React Native, Flutter y seguridad informática.
Disponibilidad para trabajar en Lurín, se cuenta con movilidad ida y retorno.
BENEFICIOS:
Planilla desde el primer día
Participación de Utilidades
Seguro Privado EPS cubierto al 100%
Movilidad de traslado al centro de operaciones.
INTERESADOS
Primero, aplicar a la vacante por este medio.
Luego, completar la siguiente encuesta (copia y pega en tu navegador): https://bit.ly/3ToMR2u
Tomar en cuenta las siguientes consideraciones generales:
Al aplicar al empleo, usted autoriza el uso de sus datos personales para fines de inherentes al proceso de selección, de conformidad a lo establecido en la Ley N° 29733: Ley de Protección de Datos Personales y su Reglamento: DS 03- 2013- JUS.
ZAMINE PERU promueve la igualdad de oportunidades y cuestiona cualquier forma de discriminación basada en sexo, edad, origen, raza, religión, discapacidad, orientación sexual o cualquier otra condición; caso contrario, repórtalo a reclutamiento(arroba)zamineperu(punto)com
El consultor o reclutador responsable del proceso de selección se contactará contigo a través de medios telefónicos y digitales, principalmente utilizaremos como buzón principal tu correo electrónico que proporcionaste al aplicar.
Ninguna persona a nombre de ZAMINE PERU puede solicitarte dinero para participar u obtener una ventaja en el proceso de selección; caso contrario, repórtalo a reclutamiento(arroba)zamineperu.com","Lurín, Lima, Peru",Presencial
Desarrollador Fullstack,"Nos encontramos en búsqueda de un Desarrollador que tendrá como principales funciones:
Diseño y desarrollo de aplicaciones de software internas.
Entender y documentar los requisitos del negocio, traduciéndolos en especificaciones técnicas para el desarrollo de soluciones de software.
Atender requerimientos e incidentes relacionados al desarrollo de aplicaciones Web.
Diseñar, implementar y mantener bases de datos, asegurando su integridad, rendimiento y seguridad.
Pruebas y Aseguramiento de la Calidad de las aplicaciones desarrolladas.
Proveer capacitación y soporte técnico a los usuarios para facilitar la adopción y el uso eficaz de las soluciones desarrolladas.
Documentar el análisis y diseño de las aplicaciones de negocio desarrolladas.
Requisitos:
Experiencia de 5 años realizando las funciones o similares.
Profesional técnico o universitario de Computación, Ingeniería de Sistemas, Software, afines.
Conocimientos en: HTML/CSS, React/NextJS y NestJS, SQL.
Modalidad:
Híbrida, asistencia a oficina 1 vez a la semana.","San Isidro, Lima, Peru",Híbrido
Analista de Programación,"Somos una Entidad Financiera, con un portafolio de diversos productos; por lo que requerimos incorporar en nuestra planilla Analista de Programación:
REQUISITOS:
Desarrollo de aplicaciones móviles con tecnología Swift (iOS), UIKit.
Conocimientos de UI/UX: Capacidad para diseñar interfaces atractivas y fáciles de usar con figma.
Manejo de errores, consumo de componentes de integración APIs.
Conocimientos en implementación de backend con .Net (Deseable)
Conocimientos en consultas a base de datos SQL Server.
Conocimientos en arquitectura y patrones de diseño.
Conocimientos de Scrum. Buenas prácticas de programación.
FUNCIONES
Responsable del análisis, diseño, construcción de nuevos aplicativos y/o mantenimiento a aplicativos ya existentes.
Desarrollar documentación técnica de los programas desarrollados
Realizar pruebas unitarias de los programas desarrollados, a fin de eliminar los errores que puedan generarse.
Capacidad de análisis y coordinación con usuarios.
BENEFICIOS
Remuneración acorde al mercado
Plan de salud cubierto al 80% (EPS).
Buen clima laboral
Goce de convenios corporativos exclusivos para los colaboradores y sus familias; contamos con convenios educativos, recreativos, salud y mucho más; los cuales están al alcance de todos nuestros colaboradores.","San Isidro, Lima, Peru",Presencial
